gym,address,timestamp,consumption,TEMP,DEWP,SLP,STP,MAX,MIN,PRCP
string,string,datetime,float,float,float,float,float,float,float,float
S,,T,,,,,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:00:00.0,18.12,,,1060,1060,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:15:00.0,23.11,51.5,,1060,1060,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:30:00.0,23.21,51.5,41.9,1060,,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:45:00.0,23.23,51.5,41.9,,1060,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:00:00.0,23.12,51.5,41.9,1060,1060,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:15:00.0,22.94,51.5,,1060,1060,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:30:00.0,,51.5,41.9,,1060,,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:45:00.0,23.13,51.5,41.9,1060,,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:00:00.0,23.14,51.5,41.9,,1060,,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:15:00.0,23.57,51.5,,1060,1060,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:30:00.0,23.71,51.5,41.9,1060,1060,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:45:00.0,23.89,51.5,41.9,1060,1060,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:00:00.0,,,,,1060,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:15:00.0,23.74,51.5,41.9,1060,1060,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:30:00.0,,,41.9,,,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:45:00.0,24.15,,41.9,1060,,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:00:00.0,24.05,,41.9,1060,1060,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:15:00.0,24.04,51.5,,1060,1060,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:30:00.0,,51.5,41.9,,1060,,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:45:00.0,24.04,51.5,,,1060,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:00:00.0,23.58,,,1060,,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:15:00.0,19.84,51.5,,1060,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:30:00.0,,51.5,41.9,1060,1060,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:45:00.0,23.46,51.5,41.9,1060,1060,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:00:00.0,28.23,51.5,41.9,1060,1060,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:15:00.0,,,41.9,,1060,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:30:00.0,35.62,51.5,,1060,1060,57.2,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:45:00.0,35.49,,,1060,,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:00:00.0,35.06,51.5,41.9,1060,1060,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:15:00.0,33.96,51.5,41.9,,1060,,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:30:00.0,33.09,51.5,41.9,1060,1060,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:45:00.0,33.27,,41.9,1060,1060,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 08:00:00.0,,51.5,41.9,,1060,,,0.03
