f0, f1
string, string
, 
H, F
T, R
X, C
K, A
F, N
A, F
Q, O
F, P
V, A
U, S
I, E
Y, I
C, C
W, P
U, S
N, Z
J, O
V, Q
W, P
S, B
F, H
C, G
C, H
Q, J
J, F
G, Y
Q, P
E, S
E, J
Z, Q
O, R
V, U
F, A
I, G
F, Y
W, I
R, K
X, L
G, G
O, G
P, X
K, F
Z, N
C, B
C, Q
U, S
B, J
Z, N
Z, W
A, S
R, N
G, Q
C, L
L, Y
W, G
N, E
X, W
H, Q
P, D
T, O
U, N
A, I
A, Y
W, V
H, B
W, Y
C, M
B, T
T, D
M, O
G, W
L, F
O, S
F, I
Z, Q
L, N
D, F
I, P
F, F
B, Q
F, X
W, B
G, R
F, D
Y, O
M, U
U, E
C, L
L, M
S, R
Z, C
K, I
W, G
E, L
K, H
G, Y
L, W
O, B
Z, V
Z, Y
W, E
M, F
K, B
J, Z
G, U
L, K
Y, Z
O, S
E, H
Z, P
O, T
B, P
N, W
E, Y
C, E
P, R
G, D
X, G
P, Q
K, P
N, Y
F, S
G, K
R, H
I, T
B, L
Z, Z
B, F
G, Y
W, W
J, E
V, S
P, Z
R, A
V, H
R, Y
D, D
C, O
H, P
S, F
Q, G
M, X
V, C
L, H
A, U
Q, G
T, O
L, A
B, W
X, O
V, P
D, D
I, X
U, W
X, F
G, C
U, W
K, Q
E, Y
W, Z
V, W
A, T
I, Y
U, W
V, G
U, C
W, W
F, V
L, H
U, F
A, F
I, W
Z, H
Q, K
Z, N
Y, C
Z, E
Z, G
C, L
S, I
P, N
K, O
G, S
A, Y
N, S
T, R
J, B
R, I
I, W
S, H
I, K
K, H
D, K
Y, R
X, Q
H, O
A, H
L, P
R, M
L, F
M, X
U, E
C, N
Q, I
V, T
R, F
F, A
G, M
W, B
K, Q
F, S
M, G
R, A
T, U
C, L
E, Y
N, B
G, W
L, U
R, Z
P, Y
X, P
S, N
V, O
X, T
M, G
G, Q
T, N
Q, H
C, H
H, I
O, D
G, S
S, B
K, O
K, F
K, X
P, S
W, T
J, A
J, T
W, Y
K, T
O, P
F, F
L, A
I, R
K, E
M, D
Q, A
K, O
A, Q
D, M
B, J
F, I
T, J
T, V
G, C
A, O
Z, J
Q, U
Q, T
Y, F
A, D
D, R
O, F
S, T
E, P
T, C
V, Z
C, A
I, R
Y, K
S, B
R, Q
C, U
W, P
D, Z
U, J
L, J
N, I
W, V
C, Y
Q, V
S, L
T, Z
H, V
N, M
L, T
G, W
V, C
W, G
M, P
J, A
W, E
F, U
I, W
S, H
A, Y
C, S
M, T
R, Q
M, U
C, F
R, H
P, M
N, L
T, I
S, H
G, D
F, D
N, T
E, F
M, S
Z, N
H, C
F, F
E, A
N, H
Z, O
S, D
W, M
W, O
M, L
E, B
Y, M
V, K
B, Q
B, D
O, H
Z, D
T, P
U, F
N, L
L, W
Z, H
Q, P
T, Y
F, F
R, E
E, B
A, L
P, H
G, S
S, L
R, Y
U, Q
R, Y
L, O
Q, X
V, B
E, H
T, O
H, D
R, S
Y, N
M, C
B, L
I, G
C, Z
V, O
Y, Z
R, H
B, T
M, Q
X, E
P, Q
M, C
J, I
R, W
I, S
H, Y
V, O
L, I
I, Z
K, N
Z, R
O, K
E, J
T, Q
T, F
O, Y
L, S
D, Z
P, G
E, O
O, C
Z, X
L, D
V, M
S, N
H, V
Z, G
O, J
X, N
W, W
H, U
K, Y
N, V
H, H
P, Z
M, D
O, I
O, O
L, I
E, S
O, G
U, B
T, S
V, K
R, V
Z, M
A, N
P, W
W, L
N, L
S, K
R, E
M, Z
I, S
Q, W
W, W
J, I
S, T
W, A
B, Q
X, Z
T, L
C, Q
W, L
S, X
B, U
H, J
D, N
O, U
E, C
W, Q
G, X
D, L
G, G
A, U
X, R
E, L
I, P
Q, L
G, V
F, K
M, G
O, O
Z, H
Z, R
H, O
R, T
B, P
M, X
H, U
P, J
Q, Q
R, S
R, V
Q, X
Q, I
L, P
T, C
H, T
E, D
O, Z
N, X
V, G
V, M
U, T
I, C
Z, D
Z, W
S, Z
Z, U
J, U
A, N
L, R
R, P
V, Y
C, G
A, W
O, X
F, B
V, X
H, K
D, Y
H, M
C, X
D, L
R, T
Y, K
T, E
K, C
M, K
Y, A
J, L
Y, W
C, R
O, Z
J, K
E, D
W, L
R, Q
P, A
U, G
D, O
B, T
F, F
W, I
D, X
A, W
D, D
G, E
R, A
A, U
G, I
E, B
T, N
T, M
U, N
C, N
Y, B
U, W
N, L
Z, B
M, K
R, M
X, B
C, P
B, H
Q, O
I, Z
N, L
P, C
S, W
Q, T
S, F
L, F
I, L
K, C
L, R
J, D
X, B
V, C
C, T
V, O
P, O
I, D
J, R
T, W
S, Z
P, J
P, F
R, F
C, V
J, T
O, U
V, Z
V, P
Q, A
Y, V
G, E
S, I
I, A
W, O
K, D
Q, A
T, F
K, I
J, S
U, O
C, B
E, Q
R, H
R, M
L, H
T, C
L, H
R, M
R, B
K, P
A, H
F, D
G, I
A, T
E, J
S, N
V, U
B, W
B, A
X, W
O, O
S, K
C, A
I, U
Q, V
X, C
V, G
P, N
K, I
I, I
E, N
C, N
X, J
S, V
V, G
D, F
P, T
R, E
U, M
T, T
L, Y
O, Q
Q, W
Q, D
B, L
H, H
B, N
I, L
B, V
B, W
W, P
N, M
O, U
X, L
V, Q
I, M
D, B
C, X
I, S
N, E
G, L
L, N
E, J
H, K
I, P
U, Q
B, C
R, H
S, R
X, W
I, P
D, J
Z, S
K, P
Y, I
J, U
V, R
V, T
R, N
Q, L
J, J
E, F
Y, M
F, D
C, V
C, U
V, W
A, I
T, D
J, E
V, U
V, E
L, K
R, G
L, H
T, L
N, I
V, M
V, J
Y, Z
M, H
J, N
Z, V
U, D
G, Q
W, O
C, V
W, H
T, H
X, D
L, Y
F, L
J, A
B, N
G, Z
J, A
Y, V
Q, U
D, H
V, S
D, S
L, A
C, G
V, O
S, N
C, H
H, B
K, U
L, C
X, P
A, N
G, D
L, P
G, K
R, C
Z, B
N, N
Z, O
K, M
Q, Z
G, A
U, I
T, Q
U, T
I, B
O, V
E, U
M, S
Q, V
B, U
L, H
B, F
B, Y
N, Z
O, G
T, E
J, U
W, I
D, J
X, T
X, K
Z, M
M, Y
N, U
S, C
P, V
O, I
C, R
H, P
L, R
J, B
W, J
Z, H
Z, Y
B, Q
J, U
R, Y
D, P
U, A
B, U
J, J
O, P
R, Y
J, T
O, N
K, Q
G, C
T, M
K, O
G, G
L, Z
H, X
M, D
W, L
X, L
C, R
V, I
J, B
O, X
W, S
Y, Q
U, N
D, F
D, U
A, O
J, U
O, P
C, I
Z, S
N, T
V, B
Z, Q
L, R
I, W
U, Q
E, Z
L, X
B, D
D, E
I, S
I, Y
X, V
G, Q
O, D
H, N
N, E
Y, E
R, S
P, V
O, V
A, B
Q, O
Q, T
K, Q
M, Q
H, Y
M, U
R, H
B, B
L, M
F, P
I, S
T, W
Z, D
J, O
I, M
G, G
C, H
J, P
G, W
E, I
P, I
T, M
N, M
I, A
Y, N
Z, F
J, B
M, W
R, M
N, W
L, W
S, T
J, K
O, F
O, B
N, T
H, Z
R, D
Z, K
U, I
Y, T
F, N
N, B
D, I
M, L
P, N
I, P
E, Z
T, H
I, V
N, S
H, V
J, R
Z, P
U, S
R, A
M, Z
U, U
P, S
P, E
Q, Q
V, D
R, A
Y, C
A, I
D, R
K, U
X, W
T, B
D, F
I, R
N, I
E, X
I, J
U, S
Q, S
P, E
G, O
F, Z
H, H
F, S
I, J
Y, U
H, D
R, J
Z, V
Y, U
H, H
S, J
L, G
M, F
O, Y
S, D
Q, P
G, R
N, Q
B, K
S, C
U, A
O, Y
K, Y
W, M
F, Z
I, Q
X, C
O, N
S, Y
X, E
W, E
X, Z
K, M
Y, Z
Y, W
A, O
C, Z
H, Z
O, M
Y, W
M, F
C, E
L, G
E, T
U, O
T, E
W, X
V, N
C, R
E, D
I, G
G, G
T, Y
H, S
A, Q
S, B
D, H
K, N
X, S
I, D
X, H
P, F
D, D
T, P
K, O
M, N
R, F
G, T
W, C
L, S
C, O
B, O
N, O
D, I
N, D
F, P
C, N
V, L
N, L
B, M
U, S
K, V
T, P
B, I
B, Z
Y, B
Y, A
K, T
T, Z
Q, K
Z, J
W, X
J, R
R, O
Q, J
E, N
N, S
F, A
A, H
R, O
N, V
G, J
H, Y
S, C
V, K
T, W
A, F
C, A
P, S
B, T
K, G
F, W
B, N
H, V
T, I
P, R
I, H
D, R
F, H
B, Y
W, X
Q, L
M, Z
Y, R
U, I
K, D
J, T
M, W
H, S
U, X
O, Z
O, D
G, F
Q, X
W, C
S, E
G, R
P, W
E, T
S, O
M, W
I, Y
A, Y
Z, D
Z, M
G, P
F, X
O, U
J, N
J, G
N, M
C, Z
M, V
X, J
K, O
F, D
G, Y
P, K
D, I
J, V
M, R
R, G
V, Z
Q, M
E, U
E, S
M, X
O, Q
B, A
W, Y
R, T
K, V
G, S
A, N
J, Q
R, Q
M, M
A, O
A, N
H, Z
A, V
R, U
X, C
C, D
E, N
V, G
K, J
K, O
Z, F
R, W
Q, W
T, C
J, O
B, A
E, M
L, U
O, W
C, N
B, F
W, X
M, B
B, Y
X, O
A, Y
I, Y
P, T
S, K
C, E
G, V
K, X
I, T
D, Z
S, N
Z, B
L, V
I, T
Y, K
U, A
H, Z
M, J
Y, L
R, R
C, Q
U, S
C, E
S, Q
T, I
C, A
I, J
H, D
E, L
O, K
A, J
C, P
I, K
H, K
C, X
X, Z
O, E
J, D
H, M
B, L
K, M
B, G
G, Q
P, F
C, H
Y, I
Q, U
I, I
V, W
Z, D
I, Y
F, I
Z, Z
H, S
M, O
G, J
V, K
C, O
P, O
R, O
Y, M
S, L
H, S
V, U
K, M
Q, G
R, S
U, B
Z, M
K, N
X, R
O, U
J, X
N, Q
C, T
R, J
Q, B
Z, R
K, T
Z, L
A, G
N, N
P, O
L, K
U, P
N, I
A, C
K, Z
D, Y
D, I
L, F
M, M
L, S
I, H
V, C
W, Q
R, E
Z, G
E, E
O, Y
G, K
E, Q
L, A
P, F
P, K
S, F
T, V
B, C
W, E
I, L
G, W
N, Q
P, P
P, J
V, Q
V, S
H, P
C, D
D, H
E, S
N, K
D, J
E, Q
S, Q
Z, O
M, D
I, L
B, J
A, D
V, Z
N, M
R, K
V, M
C, A
T, H
H, N
E, L
T, T
O, C
C, U
V, J
V, B
S, O
Z, C
V, T
H, Z
L, J
V, L
Z, U
G, V
P, J
S, Q
E, D
F, F
B, J
H, O
I, S
H, G
W, Z
R, C
Z, U
X, Z
W, D
W, G
S, V
T, R
M, P
G, K
L, Q
W, C
N, H
Y, J
Y, I
A, U
T, T
L, R
J, B
N, F
L, F
G, V
I, P
O, M
I, R
B, C
U, L
D, W
L, A
Y, F
R, D
Q, E
Y, H
R, G
J, X
E, K
H, S
G, R
S, A
M, D
F, R
A, S
V, Z
K, D
B, J
S, C
I, W
D, U
T, D
Z, D
N, A
Q, L
S, Q
D, K
R, W
C, C
T, P
J, Z
I, D
H, C
O, P
P, U
R, W
R, H
N, N
T, H
B, X
Y, M
C, M
P, N
Z, Z
Y, D
W, O
J, R
T, Y
U, A
B, G
B, B
U, N
Q, N
K, S
C, N
Q, H
I, N
F, V
N, K
Q, V
R, B
S, S
W, B
C, L
L, P
I, T
T, D
S, S
E, Y
N, U
S, E
D, U
G, X
U, A
U, H
B, S
O, C
L, J
M, O
J, G
C, O
S, F
N, B
W, G
M, J
D, Y
W, O
X, T
K, I
K, S
H, C
J, N
X, E
U, Z
Y, B
M, H
V, I
O, A
F, O
H, Q
M, P
M, U
F, X
T, G
A, K
G, J
V, W
Y, A
R, W
S, C
N, G
M, B
Z, S
C, X
X, N
S, J
Z, C
C, D
V, B
O, L
Z, G
G, I
U, S
T, I
H, B
F, U
P, E
E, M
K, N
Z, F
I, G
D, E
R, V
S, B
V, I
C, G
J, N
R, G
Z, A
K, L
T, G
M, U
D, A
V, Z
D, V
J, Q
Q, P
G, V
A, B
X, L
D, X
V, I
B, L
E, O
V, K
A, R
E, F
E, H
W, A
Q, G
H, K
O, B
H, D
F, X
N, Q
U, U
Z, U
J, O
M, X
N, K
E, I
F, X
U, B
Z, N
T, Z
Z, C
R, G
V, X
B, Z
F, W
U, J
V, V
E, P
U, S
X, A
S, Y
O, O
E, Z
W, M
I, M
C, G
F, N
A, X
F, D
S, X
V, I
A, P
X, U
W, W
Y, J
Y, K
C, H
D, E
Y, U
Y, Q
E, Z
S, Y
U, F
P, E
H, R
D, S
Y, Y
K, Z
Z, A
P, X
Z, F
O, Y
D, T
G, Z
E, X
C, S
Q, X
L, G
G, B
G, C
A, K
T, Z
W, M
J, O
C, M
W, Q
R, E
B, V
H, I
Y, B
E, J
T, O
X, C
P, P
M, A
Y, E
X, E
C, F
E, S
S, S
G, H
G, B
O, V
D, J
L, H
R, P
F, A
E, H
C, V
I, K
M, R
C, O
E, X
J, L
G, M
F, G
B, T
R, C
I, O
Z, P
O, V
V, K
N, W
M, W
M, C
X, S
N, X
U, R
Q, D
T, E
Z, Z
V, D
L, Z
L, Z
Q, V
G, X
X, B
K, K
I, H
L, W
U, Q
N, K
K, D
P, T
Y, Y
O, C
H, N
I, K
J, M
P, A
H, D
P, S
B, X
I, G
T, X
X, A
V, H
H, M
S, C
W, D
Z, L
V, H
K, Q
E, F
V, T
T, W
V, N
E, I
N, D
W, W
A, F
V, V
G, L
X, S
H, V
N, Q
D, A
J, P
E, W
P, J
E, X
T, R
H, K
E, O
Z, W
Q, R
G, K
A, U
T, A
X, Q
P, A
G, U
H, Z
Q, L
J, J
G, M
R, V
K, C
N, R
V, J
Q, P
H, C
B, Z
Q, W
G, S
X, H
D, T
X, U
U, P
R, R
S, R
Z, G
K, K
A, S
O, E
S, F
N, U
X, R
N, V
V, W
E, C
D, G
V, T
E, R
I, C
J, T
H, U
I, G
H, W
M, W
P, Y
B, X
N, W
J, H
B, W
D, F
K, O
X, L
I, S
U, M
Q, E
Q, A
H, T
E, T
M, T
C, P
Q, K
Z, J
A, F
J, A
I, V
E, R
Q, G
S, I
D, J
P, E
V, H
H, S
P, I
X, Z
I, X
J, E
Y, X
K, F
S, D
T, P
E, J
Q, A
W, G
N, B
Z, R
Q, A
R, K
J, O
M, D
S, Q
H, R
R, H
P, D
V, C
S, D
C, C
F, F
G, N
F, S
H, B
M, F
Y, I
A, R
X, V
R, D
C, N
S, C
G, G
Z, H
M, C
E, B
H, U
I, T
C, T
B, W
R, E
J, L
Q, W
C, V
E, K
Z, H
K, W
U, Q
U, C
S, B
Y, E
K, P
U, R
E, J
J, A
R, V
Z, D
X, C
K, B
G, I
S, R
T, O
O, Z
R, I
N, S
C, R
G, I
R, K
V, O
Z, B
Q, E
W, W
W, B
M, G
Z, B
F, Q
K, G
L, U
L, W
L, D
M, Q
C, K
O, A
C, P
Q, H
N, F
